;BIP Version: 05.07.00
;Revision Number: 2.0
;Last Changed: Fri Mar 26 10:18:32 2004
;By: BMW EA-33 Muellerwiebus, BMW TI-431 Schiefer, BMW TI-431 Schall
;Package Version: 00000000

;ECU:MS 43.0 fuer M54 mit EWS 3
;ORIGIN:BMW TI-431 Schaller
;REVISION:2.00
;AUTHOR:BMW EA-33 Muellerwiebus, BMW TI-431 Schiefer, BMW TI-431 Schaller
;ECUCOMMENT:


TBEG "FORTTEXTE"
HEAD "ORT", "ORTTEXT", "UW_1", "UW_2", "UW_3", "UW_4"
__00021EB7:         push       L0
                    atsp       L0,#$4.L
                    ergi       "STAT_TIMEOUT_EGS",I0
                    pop        L0
__00021EDA:         clear      S1
                    move       S1,"STAT_MFL_FEHLER"
                    push       #$1.L
                    clear      S1
                    move       S1,S4
                    push       #$1.L
                    clear      L0
                    move       I0,S0[#$0]
                    jpl        __00021F19
                    move       I1,#$FFFF.I
__00021F19:         push       L0
                    atsp       L2,#$4.L
                    move       S1,"STAT_MFL_FEHLER"
                    move       L2,#$0.L
                    tabseek    "NAME",S1
                    jz         __00021FAB
                    tabget     S1,"BYTE"
                    a2fix      L0,S1
                    move       S1,S4
                    clear      L1
                    move       B4,S1[L0]
                    tabget     S1,"MASK"
                    a2fix      L0,S1
                    move       B5,B0
                    tabget     S1,"VALUE"
                    a2fix      L0,S1
                    and        B4,B5
                    xor        B4,B0
                    jnz        __00021F9F
                    move       L2,#$1.L
__00021F9F:         push       #$1.L
                    jump       __00021FB1
__00021FAB:         push       #$0.L
__00021FB1:         pop        L1
                    move       L0,L2
                    move       S0[#$0],B0
                    move       S0[#$1],B1
                    pop        L0
                    pop        L0
                    pop        L0
                    push       L1
                    pop        L0
                    etag       __00021FF7,"STAT_MFL_FEHLER"
                    push       #$1.L
                    jump       __00021FFD
__00021FF7:         push       #$0.L
__00021FFD:         pop        L0
                    jz         __0002203E
                    nop
                    clear      L0
                    move       I0,S0[#$0]
                    jpl        __0002201C
                    move       I1,#$FFFF.I
__0002201C:         push       L0
                    atsp       L0,#$4.L
                    ergi       "STAT_MFL_FEHLER",I0
                    pop        L0
__0002203E:         clear      S1
                    move       S1,"STAT_KUPPLUNGSSCHALTER"
                    push       #$1.L
                    clear      S1
                    move       S1,S4
                    push       #$1.L
                    clear      L0
                    move       I0,S0[#$0]
                    jpl        __00022084
                    move       I1,#$FFFF.I
__00022084:         push       L0
                    atsp       L2,#$4.L
                    move       S1,"STAT_KUPPLUNGSSCHALTER"
                    move       L2,#$0.L
                    tabseek    "NAME",S1
                    jz         __0002211D
                    tabget     S1,"BYTE"
                    a2fix      L0,S1
                    move       S1,S4
                    clear      L1
                    move       B4,S1[L0]
                    tabget     S1,"MASK"
                    a2fix      L0,S1
                    move       B5,B0
                    tabget     S1,"VALUE"
                    a2fix      L0,S1
                    and        B4,B5
                    xor        B4,B0
                    jnz        __00022111
                    move       L2,#$1.L
__00022111:         push       #$1.L
                    jump       __00022123
__0002211D:         push       #$0.L
__00022123:         pop        L1
                    move       L0,L2
                    move       S0[#$0],B0
                    move       S0[#$1],B1
                    pop        L0
                    pop        L0
                    pop        L0
                    push       L1
                    pop        L0
                    etag       __00022170,"STAT_KUPPLUNGSSCHALTER"
                    push       #$1.L
                    jump       __00022176
__00022170:         push       #$0.L
__00022176:         pop        L0
                    jz         __000221BE
                    nop
                    clear      L0
                    move       I0,S0[#$0]
                    jpl        __00022195
                    move       I1,#$FFFF.I
__00022195:         push       L0
                    atsp       L0,#$4.L
                    ergi       "STAT_KUPPLUNGSSCHALTER",I0
                    pop        L0
__000221BE:         clear      S1
                    move       S1,"STAT_DYNAMIKBEGRENZUNG_2"
                    push       #$1.L
                    clear      S1
                    move       S1,S4
                    push       #$1.L
                    clear      L0
                    move       I0,S0[#$0]
                    jpl        __00022206
                    move       I1,#$FFFF.I
__00022206:         push       L0
                    atsp       L2,#$4.L
                    move       S1,"STAT_DYNAMIKBEGRENZUNG_2"
                    move       L2,#$0.L
                    tabseek    "NAME",S1
                    jz         __000222A1
                    tabget     S1,"BYTE"
                    a2fix      L0,S1
                    move       S1,S4
                    clear      L1
                    move       B4,S1[L0]
                    tabget     S1,"MASK"
                    a2fix      L0,S1
                    move       B5,B0
                    tabget     S1,"VALUE"
                    a2fix      L0,S1
                    and        B4,B5
                    xor        B4,B0
                    jnz        __00022295
                    move       L2,#$1.L
__00022295:         push       #$1.L
                    jump       __000222A7
__000222A1:         push       #$0.L
__000222A7:         pop        L1
                    move       L0,L2
                    move       S0[#$0],B0
                    move       S0[#$1],B1
                    pop        L0
                    pop        L0
                    pop        L0
                    push       L1
                    pop        L0
                    etag       __000222F6,"STAT_DYNAMIKBEGRENZUNG_2"
                    push       #$1.L
                    jump       __000222FC
__000222F6:         push       #$0.L
__000222FC:         pop        L0
                    jz         __00022346
                    nop
                    clear      L0
                    move       I0,S0[#$0]
                    jpl        __0002231B
                    move       I1,#$FFFF.I
__0002231B:         push       L0
                    atsp       L0,#$4.L
                    ergi       "STAT_DYNAMIKBEGRENZUNG_2",I0
                    pop        L0
__00022346:         clear      S1
                    move       S1,"STAT_DYNAMIKBEGRENZUNG_1"
                    push       #$1.L
                    clear      S1
                    move       S1,S4
                    push       #$1.L
                    clear      L0
                    move       I0,S0[#$0]
                    jpl        __0002238E
                    move       I1,#$FFFF.I
__0002238E:         push       L0
                    atsp       L2,#$4.L
                    move       S1,"STAT_DYNAMIKBEGRENZUNG_1"
                    move       L2,#$0.L
                    tabseek    "NAME",S1
                    jz         __00022429
                    tabget     S1,"BYTE"
                    a2fix      L0,S1
                    move       S1,S4
                    clear      L1
                    move       B4,S1[L0]
                    tabget     S1,"MASK"
                    a2fix      L0,S1
                    move       B5,B0
                    tabget     S1,"VALUE"
                    a2fix      L0,S1
                    and        B4,B5
                    xor        B4,B0
                    jnz        __0002241D
                    move       L2,#$1.L
__0002241D:         push       #$1.L
                    jump       __0002242F
__00022429:         push       #$0.L
__0002242F:         pop        L1
                    move       L0,L2
                    move       S0[#$0],B0
                    move       S0[#$1],B1
                    pop        L0
                    pop        L0
                    pop        L0
                    push       L1
                    pop        L0
                    etag       __0002247E,"STAT_DYNAMIKBEGRENZUNG_1"
                    push       #$1.L
                    jump       __00022484
__0002247E:         push       #$0.L
__00022484:         pop        L0
                    jz         __000224CE
                    nop
                    clear      L0
                    move       I0,S0[#$0]
                    jpl        __000224A3
                    move       I1,#$FFFF.I
__000224A3:         push       L0
                    atsp       L0,#$4.L
                    ergi       "STAT_DYNAMIKBEGRENZUNG_1",I0
                    pop        L0
__000224CE:         clear      S1
                    move       S1,"STAT_MFL_BOTSCHAFT"
                    push       #$1.L
                    clear      S1
                    move       S1,S4
                    push       #$1.L
                    clear      L0
                    move       I0,S0[#$0]
                    jpl        __00022510
                    move       I1,#$FFFF.I
__00022510:         push       L0
                    atsp       L2,#$4.L
                    move       S1,"STAT_MFL_BOTSCHAFT"
                    move       L2,#$0.L
                    tabseek    "NAME",S1
                    jz         __000225A5
                    tabget     S1,"BYTE"
                    a2fix      L0,S1
                    move       S1,S4
                    clear      L1
                    move       B4,S1[L0]
                    tabget     S1,"MASK"
                    a2fix      L0,S1
                    move       B5,B0
                    tabget     S1,"VALUE"
                    a2fix      L0,S1
                    and        B4,B5
                    xor        B4,B0
                    jnz        __00022599
                    move       L2,#$1.L
__00022599:         push       #$1.L
                    jump       __000225AB
__000225A5:         push       #$0.L
__000225AB:         pop        L1
                    move       L0,L2
                    move       S0[#$0],B0
                    move       S0[#$1],B1
                    pop        L0
                    pop        L0
                    pop        L0
                    push       L1
                    pop        L0
                    etag       __000225F4,"STAT_MFL_BOTSCHAFT"
                    push       #$1.L
                    jump       __000225FA
__000225F4:         push       #$0.L
__000225FA:         pop        L0
                    jz         __0002263E
                    nop
                    clear      L0
                    move       I0,S0[#$0]
                    jpl        __00022619
                    move       I1,#$FFFF.I
__00022619:         push       L0
                    atsp       L0,#$4.L
                    ergi       "STAT_MFL_BOTSCHAFT",I0
                    pop        L0
__0002263E:         clear      S1
                    move       S1,"STAT_BTS_BLS_PLAUSIBILITAET"
                    push       #$1.L
                    clear      S1
                    move       S1,S4
                    push       #$1.L
                    clear      L0
                    move       I0,S0[#$0]
                    jpl        __00022689
                    move       I1,#$FFFF.I
__00022689:         push       L0
                    atsp       L2,#$4.L
                    move       S1,"STAT_BTS_BLS_PLAUSIBILITAET"
                    move       L2,#$0.L
                    tabseek    "NAME",S1
                    jz         __00022727
                    tabget     S1,"BYTE"
                    a2fix      L0,S1
                    move       S1,S4
                    clear      L1
                    move       B4,S1[L0]
                    tabget     S1,"MASK"
                    a2fix      L0,S1
                    move       B5,B0
                    tabget     S1,"VALUE"
                    a2fix      L0,S1
                    and        B4,B5
                    xor        B4,B0
                    jnz        __0002271B
                    move       L2,#$1.L
__0002271B:         push       #$1.L
                    jump       __0002272D
__00022727:         push       #$0.L
__0002272D:         pop        L1
                    move       L0,L2
                    move       S0[#$0],B0
                    move       S0[#$1],B1
                    pop        L0
                    pop        L0
                    pop        L0
                    push       L1
                    pop        L0
                    etag       __0002277F,"STAT_BTS_BLS_PLAUSIBILITAET"
                    push       #$1.L
                    jump       __00022785
__0002277F:         push       #$0.L
__00022785:         pop        L0
                    jz         __000227D2
                    nop
                    clear      L0
                    move       I0,S0[#$0]
                    jpl        __000227A4
                    move       I1,#$FFFF.I
__000227A4:         push       L0
                    atsp       L0,#$4.L
                    ergi       "STAT_BTS_BLS_PLAUSIBILITAET",I0
                    pop        L0
__000227D2:         clear      S1
                    move       S1,"STAT_DREHZAHLBEGRENZUNG"
                    push       #$1.L
                    clear      S1
                    move       S1,S4
                    push       #$1.L
                    clear      L0
                    move       I0,S0[#$0]
                    jpl        __00022819
                    move       I1,#$FFFF.I
__00022819:         push       L0
                    atsp       L2,#$4.L
                    move       S1,"STAT_DREHZAHLBEGRENZUNG"
                    move       L2,#$0.L
                    tabseek    "NAME",S1
                    jz         __000228B3
                    tabget     S1,"BYTE"
                    a2fix      L0,S1
                    move       S1,S4
                    clear      L1
                    move       B4,S1[L0]
                    tabget     S1,"MASK"
                    a2fix      L0,S1
                    move       B5,B0
                    tabget     S1,"VALUE"
                    a2fix      L0,S1
                    and        B4,B5
                    xor        B4,B0
                    jnz        __000228A7
                    move       L2,#$1.L
__000228A7:         push       #$1.L
                    jump       __000228B9
__000228B3:         push       #$0.L
__000228B9:         pop        L1
                    move       L0,L2
                    move       S0[#$0],B0
                    move       S0[#$1],B1
                    pop        L0
                    pop        L0
                    pop        L0
                    push       L1
                    pop        L0
                    etag       __00022907,"STAT_DREHZAHLBEGRENZUNG"
                    push       #$1.L
                    jump       __0002290D
__00022907:         push       #$0.L
__0002290D:         pop        L0
                    jz         __00022956
                    nop
                    clear      L0
                    move       I0,S0[#$0]
                    jpl        __0002292C
                    move       I1,#$FFFF.I
__0002292C:         push       L0
                    atsp       L0,#$4.L
                    ergi       "STAT_DREHZAHLBEGRENZUNG",I0
                    pop        L0
__00022956:         clear      S1
                    move       S1,"STAT_VS_FIL"
                    push       #$1.L
                    clear      S1
                    move       S1,S4
                    push       #$1.L
                    clear      L0
                    move       I0,S0[#$0]
                    jpl        __00022991
                    move       I1,#$FFFF.I
__00022991:         push       L0
                    atsp       L2,#$4.L
                    move       S1,"STAT_VS_FIL"
                    move       L2,#$0.L
                    tabseek    "NAME",S1
                    jz         __00022A1F
                    tabget     S1,"BYTE"
                    a2fix      L0,S1
                    move       S1,S4
                    clear      L1
                    move       B4,S1[L0]
                    tabget     S1,"MASK"
                    a2fix      L0,S1
                    move       B5,B0
                    tabget     S1,"VALUE"
                    a2fix      L0,S1
                    and        B4,B5
                    xor        B4,B0
                    jnz        __00022A13
                    move       L2,#$1.L
__00022A13:         push       #$1.L
                    jump       __00022A25
__00022A1F:         push       #$0.L
__00022A25:         pop        L1
                    move       L0,L2
                    move       S0[#$0],B0
                    move       S0[#$1],B1
                    pop        L0
                    pop        L0
                    pop        L0
                    push       L1
                    pop        L0
                    etag       __00022A67,"STAT_VS_FIL"
                    push       #$1.L
                    jump       __00022A6D
__00022A67:         push       #$0.L
__00022A6D:         pop        L0
                    jz         __00022AAA
                    nop
                    clear      L0
                    move       I0,S0[#$0]
                    jpl        __00022A8C
                    move       I1,#$FFFF.I
__00022A8C:         push       L0
                    atsp       L0,#$4.L
                    ergi       "STAT_VS_FIL",I0
                    pop        L0
__00022AAA:         clear      S1
                    move       S1,"STAT_UEBERTRETEN"
                    push       #$1.L
                    clear      S1
                    move       S1,S4
                    push       #$1.L
                    clear      L0
                    move       I0,S0[#$0]
                    jpl        __00022AEA
                    move       I1,#$FFFF.I
__00022AEA:         push       L0
                    atsp       L2,#$4.L
                    move       S1,"STAT_UEBERTRETEN"
                    move       L2,#$0.L
                    tabseek    "NAME",S1
                    jz         __00022B7D
                    tabget     S1,"BYTE"
                    a2fix      L0,S1
                    move       S1,S4
                    clear      L1
                    move       B4,S1[L0]
                    tabget     S1,"MASK"
                    a2fix      L0,S1
                    move       B5,B0
                    tabget     S1,"VALUE"
                    a2fix      L0,S1
                    and        B4,B5
                    xor        B4,B0
                    jnz        __00022B71
                    move       L2,#$1.L
__00022B71:         push       #$1.L
                    jump       __00022B83
__00022B7D:         push       #$0.L
__00022B83:         pop        L1
                    move       L0,L2
                    move       S0[#$0],B0
                    move       S0[#$1],B1
                    pop        L0
                    pop        L0
                    pop        L0
                    push       L1
                    pop        L0
                    etag       __00022BCA,"STAT_UEBERTRETEN"
                    push       #$1.L
                    jump       __00022BD0
__00022BCA:         push       #$0.L
__00022BD0:         pop        L0
                    jz         __00022C12
                    nop
                    clear      L0
                    move       I0,S0[#$0]
                    jpl        __00022BEF
                    move       I1,#$FFFF.I
__00022BEF:         push       L0
                    atsp       L0,#$4.L
                    ergi       "STAT_UEBERTRETEN",I0
                    pop        L0
__00022C12:         clear      S1
                    move       S1,"STAT_HOCHLAUFSPERRE"
                    push       #$1.L
                    clear      S1
                    move       S1,S4
                    push       #$1.L
                    clear      L0
                    move       I0,S0[#$0]
                    jpl        __00022C55
                    move       I1,#$FFFF.I
__00022C55:         push       L0
                    atsp       L2,#$4.L
                    move       S1,"STAT_HOCHLAUFSPERRE"
                    move       L2,#$0.L
                    tabseek    "NAME",S1
                    jz         __00022CEB
                    tabget     S1,"BYTE"
                    a2fix      L0,S1
                    move       S1,S4
                    clear      L1
                    move       B4,S1[L0]
                    tabget     S1,"MASK"
                    a2fix      L0,S1
                    move       B5,B0
                    tabget     S1,"VALUE"
                    a2fix      L0,S1
                    and        B4,B5
                    xor        B4,B0
                    jnz        __00022CDF
                    move       L2,#$1.L
__00022CDF:         push       #$1.L
                    jump       __00022CF1
__00022CEB:         push       #$0.L
__00022CF1:         pop        L1
                    move       L0,L2
                    move       S0[#$0],B0
                    move       S0[#$1],B1
                    pop        L0
                    pop        L0
                    pop        L0
                    push       L1
                    pop        L0
                    etag       __00022D3B,"STAT_HOCHLAUFSPERRE"
                    push       #$1.L
                    jump       __00022D41
__00022D3B:         push       #$0.L
__00022D41:         pop        L0
                    jz         __00022D86
                    nop
                    clear      L0
                    move       I0,S0[#$0]
                    jpl        __00022D60
                    move       I1,#$FFFF.I
__00022D60:         push       L0
                    atsp       L0,#$4.L
                    ergi       "STAT_HOCHLAUFSPERRE",I0
                    pop        L0
__00022D86:         clear      S1
                    move       S1,"STAT_BESCHLEUNIGUNGSUEBERWACHUNG"
                    push       #$1.L
                    clear      S1
                    move       S1,S4
                    push       #$1.L
                    clear      L0
                    move       I0,S0[#$0]
                    jpl        __00022DD6
                    move       I1,#$FFFF.I
__00022DD6:         push       L0
                    atsp       L2,#$4.L
                    move       S1,"STAT_BESCHLEUNIGUNGSUEBERWACHUNG"
                    move       L2,#$0.L
                    tabseek    "NAME",S1
                    jz         __00022E79
                    tabget     S1,"BYTE"
                    a2fix      L0,S1
                    move       S1,S4
                    clear      L1
                    move       B4,S1[L0]
                    tabget     S1,"MASK"
                    a2fix      L0,S1
                    move       B5,B0
                    tabget     S1,"VALUE"
                    a2fix      L0,S1
                    and        B4,B5
                    xor        B4,B0
                    jnz        __00022E6D
                    move       L2,#$1.L
__00022E6D:         push       #$1.L
                    jump       __00022E7F
__00022E79:         push       #$0.L
__00022E7F:         pop        L1
                    move       L0,L2
                    move       S0[#$0],B0
                    move       S0[#$1],B1
                    pop        L0
                    pop        L0
                    pop        L0
                    push       L1
                    pop        L0
                    etag       __00022ED6,"STAT_BESCHLEUNIGUNGSUEBERWACHUNG"
                    push       #$1.L
                    jump       __00022EDC
__00022ED6:         push       #$0.L
__00022EDC:         pop        L0
                    jz         __00022F2E
                    nop
                    clear      L0
                    move       I0,S0[#$0]
                    jpl        __00022EFB
                    move       I1,#$FFFF.I
__00022EFB:         push       L0
                    atsp       L0,#$4.L
                    ergi       "STAT_BESCHLEUNIGUNGSUEBERWACHUNG",I0
                    pop        L0
__00022F2E:         clear      S1
                    move       S1,"STAT_F_V1"
                    push       #$1.L
                    clear      S1
                    move       S1,S4
                    push       #$1.L
                    clear      L0
                    move       I0,S0[#$0]
                    jpl        __00022F67
                    move       I1,#$FFFF.I
__00022F67:         push       L0
                    atsp       L2,#$4.L
                    move       S1,"STAT_F_V1"
                    move       L2,#$0.L
                    tabseek    "NAME",S1
                    jz         __00022FF3
                    tabget     S1,"BYTE"
                    a2fix      L0,S1
                    move       S1,S4
                    clear      L1
                    move       B4,S1[L0]
                    tabget     S1,"MASK"
                    a2fix      L0,S1
                    move       B5,B0
                    tabget     S1,"VALUE"
                    a2fix      L0,S1
                    and        B4,B5
                    xor        B4,B0
                    jnz        __00022FE7
                    move       L2,#$1.L
__00022FE7:         push       #$1.L
                    jump       __00022FF9
__00022FF3:         push       #$0.L
__00022FF9:         pop        L1
                    move       L0,L2
                    move       S0[#$0],B0
                    move       S0[#$1],B1
                    pop        L0
                    pop        L0
                    pop        L0
                    push       L1
                    pop        L0
                    etag       __00023039,"STAT_F_V1"
                    push       #$1.L
                    jump       __0002303F
__00023039:         push       #$0.L
__0002303F:         pop        L0
                    jz         __0002307A
                    nop
                    clear      L0
                    move       I0,S0[#$0]
                    jpl        __0002305E
                    move       I1,#$FFFF.I
__0002305E:         push       L0
                    atsp       L0,#$4.L
                    ergi       "STAT_F_V1",I0
                    pop        L0
__0002307A:         clear      S1
                    move       S1,"STAT_MFL_ANFORDERUNG_AUS"
                    push       #$1.L
                    clear      S1
                    move       S1,S4
                    push       #$1.L
                    clear      L0
                    move       I0,S0[#$0]
                    jpl        __000230C2
                    move       I1,#$FFFF.I
__000230C2:         push       L0
                    atsp       L2,#$4.L
                    move       S1,"STAT_MFL_ANFORDERUNG_AUS"
                    move       L2,#$0.L
                    tabseek    "NAME",S1
                    jz         __0002315D
                    tabget     S1,"BYTE"
                    a2fix      L0,S1
                    move       S1,S4
                    clear      L1
                    move       B4,S1[L0]
                    tabget     S1,"MASK"
                    a2fix      L0,S1
                    move       B5,B0
                    tabget     S1,"VALUE"
                    a2fix      L0,S1
                    and        B4,B5
                    xor        B4,B0
                    jnz        __00023151
                    move       L2,#$1.L
__00023151:         push       #$1.L
                    jump       __00023163
__0002315D:         push       #$0.L
__00023163:         pop        L1
                    move       L0,L2
                    move       S0[#$0],B0
                    move       S0[#$1],B1
                    pop        L0
                    pop        L0
                    pop        L0
                    push       L1
                    pop        L0
                    etag       __000231B2,"STAT_MFL_ANFORDERUNG_AUS"
                    push       #$1.L
                    jump       __000231B8
__000231B2:         push       #$0.L
__000231B8:         pop        L0
                    jz         __00023202
                    nop
                    clear      L0
                    move       I0,S0[#$0]
                    jpl        __000231D7
                    move       I1,#$FFFF.I
__000231D7:         push       L0
                    atsp       L0,#$4.L
                    ergi       "STAT_MFL_ANFORDERUNG_AUS",I0
                    pop        L0
__00023202:         clear      S1
                    move       S1,"STAT_ESP"
                    push       #$1.L
                    clear      S1
                    move       S1,S4
                    push       #$1.L
                    clear      L0
                    move       I0,S0[#$0]
                    jpl        __0002323A
                    move       I1,#$FFFF.I
__0002323A:         push       L0
                    atsp       L2,#$4.L
                    move       S1,"STAT_ESP"
                    move       L2,#$0.L
                    tabseek    "NAME",S1
                    jz         __000232C5
                    tabget     S1,"BYTE"
                    a2fix      L0,S1
                    move       S1,S4
                    clear      L1
                    move       B4,S1[L0]
                    tabget     S1,"MASK"
                    a2fix      L0,S1
                    move       B5,B0
                    tabget     S1,"VALUE"
                    a2fix      L0,S1
                    and        B4,B5
                    xor        B4,B0
                    jnz        __000232B9
                    move       L2,#$1.L
__000232B9:         push       #$1.L
                    jump       __000232CB
__000232C5:         push       #$0.L
__000232CB:         pop        L1
                    move       L0,L2
                    move       S0[#$0],B0
                    move       S0[#$1],B1
                    pop        L0
                    pop        L0
                    pop        L0
                    push       L1
                    pop        L0
                    etag       __0002330A,"STAT_ESP"
                    push       #$1.L
                    jump       __00023310
__0002330A:         push       #$0.L
__00023310:         pop        L0
                    jz         __0002334A
                    nop
                    clear      L0
                    move       I0,S0[#$0]
                    jpl        __0002332F
                    move       I1,#$FFFF.I
__0002332F:         push       L0
                    atsp       L0,#$4.L
                    ergi       "STAT_ESP",I0
                    pop        L0
__0002334A:         clear      S1
                    move       S1,"STAT_VS_SP_MAX_CRU"
                    push       #$1.L
                    clear      S1
                    move       S1,S4
                    push       #$1.L
                    clear      L0
                    move       I0,S0[#$0]
                    jpl        __0002338C
                    move       I1,#$FFFF.I
__0002338C:         push       L0
                    atsp       L2,#$4.L
                    move       S1,"STAT_VS_SP_MAX_CRU"
                    move       L2,#$0.L
                    tabseek    "NAME",S1
                    jz         __00023421
                    tabget     S1,"BYTE"
                    a2fix      L0,S1
                    move       S1,S4
                    clear      L1
                    move       B4,S1[L0]
                    tabget     S1,"MASK"
                    a2fix      L0,S1
                    move       B5,B0
                    tabget     S1,"VALUE"
                    a2fix      L0,S1
                    and        B4,B5
                    xor        B4,B0
                    jnz        __00023415
                    move       L2,#$1.L
__00023415:         push       #$1.L
                    jump       __00023427
__00023421:         push       #$0.L
__00023427:         pop        L1
                    move       L0,L2
                    move       S0[#$0],B0
                    move       S0[#$1],B1
                    pop        L0
                    pop        L0
                    pop        L0
                    push       L1
                    pop        L0
                    etag       __00023470,"STAT_VS_SP_MAX_CRU"
                    push       #$1.L
                    jump       __00023476
__00023470:         push       #$0.L
__00023476:         pop        L0
                    jz         __000234BA
                    nop
                    clear      L0
                    move       I0,S0[#$0]
                    jpl        __00023495
                    move       I1,#$FFFF.I
__00023495:         push       L0
                    atsp       L0,#$4.L
                    ergi       "STAT_VS_SP_MAX_CRU",I0
                    pop        L0
__000234BA:         clear      S1
                    move       S1,"STAT_UEBERHOLFUNKTION"
                    push       #$1.L
                    clear      S1
                    move       S1,S4
                    push       #$1.L
                    clear      L0
                    move       I0,S0[#$0]
                    jpl        __000234FF
                    move       I1,#$FFFF.I
__000234FF:         push       L0
                    atsp       L2,#$4.L
                    move       S1,"STAT_UEBERHOLFUNKTION"
                    move       L2,#$0.L
                    tabseek    "NAME",S1
                    jz         __00023597
                    tabget     S1,"BYTE"
                    a2fix      L0,S1
                    move       S1,S4
                    clear      L1
                    move       B4,S1[L0]
                    tabget     S1,"MASK"
                    a2fix      L0,S1
                    move       B5,B0
                    tabget     S1,"VALUE"
                    a2fix      L0,S1
                    and        B4,B5
                    xor        B4,B0
                    jnz        __0002358B
                    move       L2,#$1.L
__0002358B:         push       #$1.L
                    jump       __0002359D
__00023597:         push       #$0.L
__0002359D:         pop        L1
                    move       L0,L2
                    move       S0[#$0],B0
                    move       S0[#$1],B1
                    pop        L0
                    pop        L0
                    pop        L0
                    push       L1
                    pop        L0
                    etag       __000235E9,"STAT_UEBERHOLFUNKTION"
                    push       #$1.L
                    jump       __000235EF
__000235E9:         push       #$0.L
__000235EF:         pop        L0
                    jz         __00023636
                    nop
                    clear      L0
                    move       I0,S0[#$0]
                    jpl        __0002360E
                    move       I1,#$FFFF.I
__0002360E:         push       L0
                    atsp       L0,#$4.L
                    ergi       "STAT_UEBERHOLFUNKTION",I0
                    pop        L0
__00023636:         clear      S1
                    move       S1,"STAT_VS_ABWEICHUNG"
                    push       #$1.L
                    clear      S1
                    move       S1,S4
                    push       #$1.L
                    clear      L0
                    move       I0,S0[#$0]
                    jpl        __00023678
                    move       I1,#$FFFF.I
__00023678:         push       L0
                    atsp       L2,#$4.L
                    move       S1,"STAT_VS_ABWEICHUNG"
                    move       L2,#$0.L
                    tabseek    "NAME",S1
                    jz         __0002370D
                    tabget     S1,"BYTE"
                    a2fix      L0,S1
                    move       S1,S4
                    clear      L1
                    move       B4,S1[L0]
                    tabget     S1,"MASK"
                    a2fix      L0,S1
                    move       B5,B0
                    tabget     S1,"VALUE"
                    a2fix      L0,S1
                    and        B4,B5
                    xor        B4,B0
                    jnz        __00023701
                    move       L2,#$1.L
__00023701:         push       #$1.L
                    jump       __00023713
__0002370D:         push       #$0.L
__00023713:         pop        L1
                    move       L0,L2
                    move       S0[#$0],B0
                    move       S0[#$1],B1
                    pop        L0
                    pop        L0
                    pop        L0
                    push       L1
                    pop        L0
                    etag       __0002375C,"STAT_VS_ABWEICHUNG"
                    push       #$1.L
                    jump       __00023762
__0002375C:         push       #$0.L
__00023762:         pop        L0
                    jz         __000237A6
                    nop
                    clear      L0
                    move       I0,S0[#$0]
                    jpl        __00023781
                    move       I1,#$FFFF.I
__00023781:         push       L0
                    atsp       L0,#$4.L
                    ergi       "STAT_VS_ABWEICHUNG",I0
                    pop        L0
__000237A6:         eoj
                    eoj


STATUS_VANOS_NW_LAGE_IST_SOLL_REF_EINLASS#
;    JOBNAME:STATUS_VANOS_NW_LAGE_IST_SOLL_REF_EINLASS
;    JOBCOMMENT:Auslesen  Einlassvanos Ist-, Soll-, Ref-lage
;    RESULT:JOB_STATUS
;    RESULTTYPE:string
;    RESULTCOMMENT:
;    RESULT:STAT_VANOS_NW_LAGE_EINLASS_IST_WERT
;    RESULTTYPE:real
;    RESULTCOMMENT:Ergebnis Istwert
;    RESULT:STAT_VANOS_NW_LAGE_EINLASS_SOLL_WERT
;    RESULTTYPE:real
;    RESULTCOMMENT:Ergebnis Sollwert
;    RESULT:STAT_VANOS_NW_LAGE_EINLASS_REF_WERT
;    RESULTTYPE:real
;    RESULTCOMMENT:Ergebnis Referenzwert
;    RESULT:STAT_VANOS_NW_LAGE_IST_SOLL_REF_EINLASS_EINH
;    RESULTTYPE:string
;    RESULTCOMMENT:
;
__000237AA:         clear      S1
                    move       S1,"CAM_AV_IN"
                    push       #$1.L
                    clear      S1
                    move       S1,S2
                    push       #$1.L
                    move       F0,F2
                    push       #$1.L
                    clear      S1
                    move       S1,S4
                    push       #$1.L
                    clear      S1
                    move       S1,"CAM_AV_IN"
                    tabset     "BetriebswTab"
                    tabseek    "NAME",S1
                    jz         __00023B79
                    clear      S2
                    clear      S1
                    tabget     S2,"TELEGRAM"
                    clear      L0
__00023830:         move       B4,S2[I1]
                    comp       B4,#$0.B
                    jz         __000238E7
                    comp       B4,#'a'
                    jae        __00023863
                    comp       B4,#'A'
                    jae        __00023873
                    comp       B4,#'0'
                    jae        __00023883
                    jump       __00023B79
__00023863:         comp       B4,#'f'
                    jbe        __00023893
                    jump       __00023B79
__00023873:         comp       B4,#'F'
                    jbe        __0002389D
                    jump       __00023B79
__00023883:         comp       B4,#'9'
                    jbe        __000238A7
                    jump       __00023B79
__00023893:         subb       B4,#'W'
                    jump       __000238AB
__0002389D:         subb       B4,#'7'
                    jump       __000238AB
__000238A7:         subb       B4,#'0'
__000238AB:         test       I1,#$1.I
                    jnz        __000238C5
                    move       B6,B4
                    adds       I1,#$1.I
                    jump       __00023830
__000238C5:         move       B5,B4
                    adds       I1,#$1.I
