;BIP Version: 05.07.00
;Revision Number: 2.0
;Last Changed: Fri Mar 26 10:18:32 2004
;By: BMW EA-33 Muellerwiebus, BMW TI-431 Schiefer, BMW TI-431 Schall
;Package Version: 00000000

;ECU:MS 43.0 fuer M54 mit EWS 3
;ORIGIN:BMW TI-431 Schaller
;REVISION:2.00
;AUTHOR:BMW EA-33 Muellerwiebus, BMW TI-431 Schiefer, BMW TI-431 Schaller
;ECUCOMMENT:


TBEG "FORTTEXTE"
HEAD "ORT", "ORTTEXT", "UW_1", "UW_2", "UW_3", "UW_4"
LINE "0x5A", "TEG_UP_1", "0x24", "0x1C", "0x36", "0x73"
LINE "0x5B", "TEG_UP_2", "0x24", "0x1C", "0x36", "0x73"
LINE "0x5C", "TEG_DOWN_1", "0x24", "0x1C", "0x36", "0x73"
LINE "0x5D", "TEG_DOWN_2", "0x24", "0x1C", "0x36", "0x73"
LINE "0x5E", "Fehler Sekundaerluftmassenmesser", "0x3A", "0x3F", "0x24", "0x1C"
LINE "0x5F", "SAV oder SA-Schlauch blockiert", "0x3A", "0x3F", "0x24", "0x1C"
LINE "0x60", "Sekundaerluftpumpe nicht aktiv", "0x3A", "0x3F", "0x24", "0x1C"
LINE "0x61", "SA-Durchsatz zu gering", "0x3A", "0x3F", "0x24", "0x1C"
LINE "0x62", "SA-Durchsatz zu gross", "0x3A", "0x3F", "0x24", "0x1C"
LINE "0x63", "Sekundaerluftventil klemmt offen", "0x3A", "0x3F", "0x24", "0x1C"
LINE "0x64", "Steuergeraetefehler", "0x36", "0x4E", "0x34", "0x33"
LINE "0x67", "Regelvanos mechanisch Einlass", "0x04", "0x06", "0x24", "0x40"
LINE "0x68", "Regelvanos mechanisch Auslass", "0x02", "0x05", "0x24", "0x40"
LINE "0x69", "Regelvanos mech. Einlass schwergaengig oder blockiert", "0x24", "0x40", "0x03", "0x08"
LINE "0x6A", "Regelvanos mech. Auslass schwergaengig oder blockiert", "0x24", "0x40", "0x01", "0x07"
LINE "0x6D", "Endstufen-Fehler", "0x41", "0x46", "0x3D", "0x4E"
LINE "0x6E", "Pedalwertsensor 1", "0x6F", "0x70", "0x71", "0x72"
LINE "0x6F", "Pedalwertsensor 2", "0x6F", "0x70", "0x71", "0x72"
LINE "0x70", "Drosselklappensensor 1", "0x74", "0x75", "0x71", "0x72"
LINE "0x71", "Drosselklappensensor 2", "0x74", "0x75", "0x71", "0x72"
LINE "0x72", "PVS-Plausibilitaet", "0x4E", "0x71", "0x72", "0x3D"
LINE "0x73", "TPS-Adaption", "0x74", "0x75", "0x4E", "0x3D"
LINE "0x75", "PVS_RATIO", "0x6F", "0x70", "0x71", "0x72"
LINE "0x76", "TPS-MAF Unplausibilitaet", "0x74", "0x75", "0x1C", "0x44"
LINE "0x77", "TPS-MAF Unplausibilitaet", "0x74", "0x75", "0x1C", "0x45"
LINE "0x78", "Unplausibilitaet Gas + Bremse", "0x28", "0x41", "0x14", "0x24"
LINE "0x7A", "Temperaturfuehler Oel", "0x24", "0x1C", "0x36", "0x40"
LINE "0x7B", "Thermostatheizung, KFK", "0x24", "0x1C", "0x36", "0x4E"
LINE "0x7C", "Variable Sauganlage", "0x24", "0x1C", "0x36", "0x4E"
LINE "0x7D", "E-Luefter", "0x24", "0x1C", "0x36", "0x4E"
LINE "0x7E", "Endstufenfehler DMTL-Ventil", "0x24", "0x4E", "0x35", "0x5E"
LINE "0x80", "EWS-Uebertragung/-Parity", "0x5E", "0x4E", "0x36", "0x24"
LINE "0x81", "Timeout SSG - Botschaft", "0x24", "0x1C", "0x36", "0x4E"
LINE "0x82", "Timeout CAN-Botschaft ASC1", "0x24", "0x1C", "0x36", "0x4E"
LINE "0x83", "Timeout CAN-Botschaft INSTR2", "0x24", "0x1C", "0x36", "0x4E"
LINE "0x84", "Timeout CAN-Botschaft INSTR3", "0x24", "0x1C", "0x36", "0x4E"
LINE "0x85", "Timeout CAN-Botschaft ASC3", "0x24", "0x1C", "0x36", "0x4E"
LINE "0x86", "SSG-Eingriff unplausibel", "0x90", "0x92", "0x91", "0x8F"
LINE "0x87", "TPS-Startpruefung", "0x74", "0x75", "0x3D", "0x4E"
LINE "0x88", "TPS-Startpruefung", "0x74", "0x75", "0x3D", "0x4E"
LINE "0x89", "Timeout CAN-Botschaft LWS1", "0x24", "0x1C", "0x36", "0x4E"
LINE "0x8B", "Signal CAN Tankfuellstand", "0x21", "0x12", "0xA9", "0xA8"
LINE "0x8C", "Endstufenfehler DMTL-Pumpe", "0x24", "0x4E", "0x35", "0x5E"
LINE "0x8D", "Plausibilitaet Tankfuellstand", "0x21", "0x12", "0xA7", "0x4E"
